user_address,total_positions,current_balance,rank_1d_place,rank_1d_amount,smart_score,total_pnl,traded_usd_volume_last_30d_sum,active_bets_amount,finished_bets_amount,finished_bets_pnl,best_trade_roi_proc,best_trade_roi_amount,worst_trade_roi_proc,worst_trade_roi_amount,win_rate,effective_count,num_markets,trader_type_bagholder,trader_type_contrarian,trader_type_lottery_ticket,trader_type_new,trader_type_novice,trader_type_reverse_cramer,trader_type_senior,trader_type_trend_follower,trader_type_veteran,trader_type_waiting_for_the_money,trader_type_whale_splash,trader_bets_0_0,trader_bets_0_1,trader_bets_0_2,trader_bets_0_3,trader_bets_0_4,trader_bets_0_5,trader_bets_0_6,trader_bets_0_7,trader_bets_0_8,trader_bets_0_9,most_traded_categories_politics,most_traded_categories_sport,most_traded_categories_music,most_traded_categories_crypto,most_traded_categories_mentions,most_traded_categories_weather,most_traded_categories_culture,most_traded_categories_other,smart_score_categories_politics,smart_score_categories_sport,smart_score_categories_music,smart_score_categories_crypto,smart_score_categories_mentions,smart_score_categories_weather,smart_score_categories_culture,smart_score_categories_other,win_rate_categories_politics,win_rate_categories_sport,win_rate_categories_music,win_rate_categories_crypto,win_rate_categories_mentions,win_rate_categories_weather,win_rate_categories_culture,win_rate_categories_other
0x001414cc3c36f0080a13cc81484549c7495688b4,16,224.04,#383197,$1.1k,35.79,158.96,67.0,0.0,60.62,158.96,4066.67,214.31,-100.0,-8.55,0.0625,3.614826215304827,16,0,1,1,1,0,0,0,0,0,0,0,66.81,0,0,0,0,0,0,0,0,0,1.0,0,0,14.0,0,0,0,1.0,-0.22709259098277246,0,0,-0.4623557359124006,0,0,0,9.9,0.0,0,0,0.0,0,0,0,1.0
0x00181eaa8ad0b3ee00292ff36159d9f215ac944d,27,0.73,#372744,$69,48.9,0.34,0.0,0.0,0.31,0.34,4445.89,0.44,-100.0,-0.03,0.1851851851851851,4.9396912763630505,27,0,1,1,1,0,0,0,0,0,0,0,0.21,0.07,0.05,0.05,0,0.02,0,0,0.01,0,13.0,9.0,0,3.0,0,0,2.0,0,33.46079715357347,7.632494175882545,0,17.14730299452741,0,0,-0.2248413374819414,0,0.07692307692307693,0.2222222222222222,0,0.6666666666666666,0,0,0.0,0
0x003b3df0b74d2ce211207af9554ab99c69e4e075,32,0.24,#313197,$0,53.63,64.41,134.0,0.14,32.79,65.99,7585.21,75.85,-100.0,-2.0,0.0967741935483871,5.417020468929013,31,1,1,1,1,0,0,0,0,0,0,0,25.79,6.0,0,2.0,1.0,0,0,0,0,0,25.0,0,0,7.0,0,0,0,0,47.59778742130632,0,0,-0.08202899599129933,0,0,0,0,0.125,0,0,0.0,0,0,0,0
0x0061f603a457754bae0241f1fb34f0ce6a5e8fd6,1042,89.82,#6943,$5.9k,99.0,145.83,125.0,45.55,100.16,101.88,99900.0,99.9,-100.0,-0.15,0.00390625,10.0,1024,1,1,1,0,0,0,1,0,0,0,0,125.03,0,0,0,0,0,0,0,0,0,214.0,20.0,0,4.0,49.0,144.0,33.0,578.0,99.0,-0.042219864440538615,0,-0.01748407130784235,-0.06693611814853027,-0.10010010010010012,-0.05362255688756376,90.63580671470055,0.004830917874396135,0.0,0,0.0,0.0,0.0,0.0,0.005263157894736842
0x0101b214c12c8fc1e7cc753de038e95ffae6f054,14,4.26,#88152,$15.3k,31.54,131.09,0.0,0.0,94.82,131.09,1284.77,165.35,-100.0,-13.67,0.6428571428571429,3.1858355937668046,14,0,1,1,1,0,0,0,1,0,0,0,65.69,0,0,0,12.59,0,0,0,0,30.93,9.0,0,2.0,2.0,0,0,1.0,0,5.419034451266903,0,-0.026091696941123146,12.828347811768882,0,0,-0.2495036677848875,0,0.8888888888888888,0,0.0,0.5,0,0,0.0,0
0x01b4f80f5f77d5b9c9f6bb163ad0f64b1001372e,226,6366.44,#12753,$35.6k,96.82,31964.65,10287.0,0.0,10582.1,31964.65,9900.0,1446.39,-100.0,-549.0,0.2256637168141592,9.780237388279668,226,0,1,1,0,1,0,0,0,0,0,0,10970.36,0,0,0,0,0,0,0,0,0,0,226.0,0,0,0,0,0,0,0,96.82435014396872,0,0,0,0,0,0,0,0.22566371681415928,0,0,0,0,0,0
0x023b0e4e83ddc4a77115da761b655b3f0569193e,22,237.77,#395841,$0,31.02,214.34,0.0,26.54,261.03,217.8,527.52,131.88,-100.0,-15.0,0.6190476190476191,3.7174501557293183,21,1,1,1,1,0,0,0,0,0,0,0,26.0,68.33,40.55,0,9.99,5.0,101.34,30.0,9.82,0,1.0,18.0,0,1.0,2.0,0,0,0,9.9,32.79720236553973,0,9.167772179695866,-8.64390072763895,0,0,0,1.0,0.6470588235294118,0,1.0,0.0,0,0,0
0x023fd1fce31928eac5a4b8f95dbfe8b778f8c142,28,103.66,#23731,$47.9k,44.32,1188.74,0.0,0.0,1180.36,1188.74,2913.91,1007.03,-100.0,-99.59,0.3214285714285714,4.47690991979006,28,0,1,1,1,0,0,0,0,0,0,0,639.32,172.69,262.23,363.94,118.0,133.05,186.13,0,0,0,12.0,0,0,7.0,0,0,5.0,4.0,-0.23821335980403496,0,0,21.44818210464939,0,0,19.787282551922868,-1.53460802083628,0.25,0,0,0.5714285714285714,0,0,0.2,0.25
0x02e2b69d297711661234dfa12b58dd001ee69655,24,152.33,#32545,$0,31.43,112.13,93.0,56.47,118.63,107.47,579.83,115.97,-100.0,-10.0,0.3125,3.5287752363070575,16,1,1,1,1,0,0,0,0,0,0,0,46.4,76.13,10.0,26.0,10.0,0,0,20.0,0,0,4.0,1.0,0,19.0,0,0,0,0,15.5103004790229,-1.6279069767441858,0,30.08797177046436,0,0,0,0,0.3333333333333333,0.0,0,0.3333333333333333,0,0,0,0
0x0398aee3facc450a18fb2a3c6a4eabf4659aee86,27,0.35,#405548,$30,50.61,0.44,0.0,0.0,0.28,0.44,4900.0,0.49,-100.0,-0.02,0.2962962962962963,5.112055422779417,27,0,1,1,1,0,0,0,0,0,0,0,0.1,0.1,0.06,0.04,0,0.04,0,0,0.01,0.03,15.0,8.0,0,1.0,0,0,0,3.0,37.335012875687575,26.955965915202086,0,-1.6277582496037843,0,0,0,2.588475319015142,0.2,0.5,0,0.0,0,0,0,0.3333333333333333
